90,19.50,19.634,853.24,12.69,18.038,667.32,31.90,-8.13,-21.86,19.22,90.215
90,16.10,15.973,977.49,0.00,15.973,977.49,0.00,0.00,0.14,0.00,89.533
90,16.10,16.035,960.50,1.69,16.022,946.99,3.12,-0.08,-1.27,1.44,89.933
90,16.10,16.046,937.01,4.09,15.298,876.48,10.33,-4.66,-6.32,6.25,89.931
90,16.10,16.216,872.05,10.70,14.400,725.89,25.74,-11.20,-16.61,15.04,89.621
90,16.10,15.980,820.66,15.98,13.401,643.75,34.14,-16.14,-21.39,18.16,89.564
90,16.10,16.196,681.01,30.24,13.276,462.83,52.65,-18.03,-31.84,22.41,88.927
90,13.20,13.183,978.14,0.00,13.183,978.14,0.00,0.00,0.00,0.00,89.941
90,13.20,13.260,955.35,2.23,12.939,932.16,4.70,-2.42,-2.42,2.47,89.928
90,13.20,13.291,916.00,6.23,12.020,821.01,16.06,-9.57,-10.37,9.84,89.635
90,13.20,13.164,879.85,9.91,11.464,749.56,23.37,-12.91,-14.80,13.46,89.373
90,13.20,13.224,768.63,21.19,10.207,592.30,39.45,-22.81,-22.94,18.26,88.276
90,13.20,13.251,679.46,30.45,10.573,501.92,48.69,-20.21,-26.12,18.23,88.664
90,13.20,13.283,616.41,36.99,10.508,436.86,55.34,-20.89,-29.12,18.35,88.799
90,10.80,10.920,977.82,0.00,10.920,977.82,0.00,0.00,0.08,0.00,89.805
90,10.80,10.859,959.02,1.91,10.501,936.25,4.25,-3.30,-2.30,2.34,89.867
90,10.80,10.799,930.76,4.84,9.594,854.65,12.60,-11.16,-8.10,7.76,89.976
90,10.80,10.894,890.39,8.82,9.147,777.90,20.45,-16.03,-12.55,11.63,89.042
90,10.80,10.849,810.08,17.00,8.446,655.72,32.94,-22.15,-18.96,15.94,88.489
90,10.80,10.830,772.71,20.87,8.242,612.39,37.37,-23.89,-20.65,16.50,88.575
90,10.80,10.963,642.21,34.35,8.498,490.53,49.83,-22.48,-23.50,15.49,88.708
90,10.80,10.910,502.36,48.66,8.711,358.51,63.34,-20.15,-28.49,14.67,88.372
90,8.90,8.923,977.89,0.00,8.923,977.89,0.00,0.00,0.04,0.00,89.847
90,8.90,8.946,956.56,2.01,8.325,929.35,4.96,-6.94,-2.80,2.95,89.032
90,8.90,8.984,929.18,4.75,7.540,856.06,12.46,-16.08,-7.83,7.70,88.588
90,8.90,9.001,891.04,8.63,7.095,787.14,19.51,-21.17,-11.62,10.88,88.239
90,8.90,8.969,818.43,16.17,6.744,677.66,30.70,-24.80,-17.15,14.54,88.431
90,8.90,8.983,696.42,28.70,6.975,554.54,43.29,-22.35,-20.32,14.59,88.317
90,8.90,8.952,609.40,37.68,6.843,480.05,50.91,-23.56,-21.16,13.23,88.215
90,8.90,8.815,524.27,46.48,6.915,407.31,58.35,-21.56,-22.24,11.87,88.168
90,8.90,8.983,383.34,61.01,7.489,284.23,70.93,-16.63,-25.75,9.92,88.210
90,7.30,7.274,977.54,0.00,7.274,977.54,0.00,0.00,0.12,0.00,89.657
90,7.30,7.291,950.69,2.50,6.249,912.93,6.61,-14.29,-3.85,4.11,88.215
90,7.30,7.345,932.01,4.42,5.727,865.76,11.43,-22.02,-6.99,7.02,88.157
90,7.30,7.268,888.12,8.94,5.136,787.84,19.41,-29.34,-11.16,10.46,88.163
90,7.30,7.406,795.59,18.52,5.389,658.83,32.60,-27.23,-17.05,14.08,88.290
90,7.30,7.445,742.35,24.02,5.544,607.30,37.87,-25.54,-18.04,13.86,88.302
90,7.30,7.454,593.03,39.39,5.853,487.15,50.17,-21.48,-17.66,10.78,88.159
90,7.30,7.318,548.63,43.98,5.770,443.84,54.60,-21.15,-18.89,10.62,88.147
90,7.30,7.294,500.86,48.94,5.943,407.01,58.36,-18.52,-18.51,9.43,88.222
90,6.00,5.917,976.04,0.00,5.917,976.04,0.00,0.00,0.04,0.00,88.891
90,6.00,6.034,962.81,1.21,5.671,952.05,2.46,-6.01,-1.08,1.25,87.976
90,6.00,5.916,932.40,4.36,4.300,871.59,10.70,-27.32,-6.48,6.34,88.028
90,6.00,5.981,906.17,7.09,3.960,823.22,15.66,-33.79,-9.12,8.57,88.151
90,6.00,5.982,783.55,19.71,3.969,661.39,32.24,-33.65,-15.55,12.53,88.101
90,6.00,5.961,690.61,29.29,4.194,570.58,41.54,-29.65,-17.33,12.25,88.051
